TRANSCRIPTION,EMOTION
" Okay.  Wow.  Sounds good then, I guess.  Thank you very much. It's a lot better than talking to a machine.",xxx
 All right.  So we're confirmed then or do you--All right.,neu
 Okay.,neu
 What's he gonna say?  Maybe we ought to tell him before he sees it.,xxx
" How could he see it?  I was the first one up, he was still in bed.",xxx
 When?,xxx
 What was he doing out here at four in the morning?,xxx
 Did you talk to him?,sad
 He cried hard?,sad
 What was he doing out here at that hour?,sad
 He's dreaming about him again.  He's walking around at night.,xxx
 He's getting just like after he died.  What is the meaning of that?,xxx
 What?,xxx
 What you mean dishonest?,xxx
 What do you want to do argue with him?,fru
 You can't say that to him.,fru
 Can you prove it?  How can you prove it?,fru
" To you it is and to me, but not to him.  I mean, you can talk yourself blue in the face, but he--there's no body and no grave so where are you?",fru
" Trouble is the God damn newspapers.  Every month or so a boy turns up out of nowhere so, you know, the next one is gonna be Larry.",xxx
 Why?,xxx
" I've got an idea, but what's the story?",sad
" Well, that's only your business, Chris.",neu
 What do you want me to do?  You're old enough to know your own mind.,ang
" Well, you want to make sure that your father isn't going to--",xxx
 I'm just saying that--,neu
 I ignore what I gotta ignore.  The girl is Larry's girl.,xxx
" From your father's point of view, he isn't dead.  And you've no right to take his girl.",fru
" And you can go on from there if you know where to go, but I don't know where to go.  See, I don't know.  Now what can I do for you?",fru
 You're a considerate fellow.  There's nothing wrong with that.,neu
 [BREATHING] Have you asked Annie yet?,neu
" Well, how do you know she'll marry you?  Maybe she feels the same way your father does.",neu
" Trouble is, you don't see enough women.",sad
 You never did.,fru
 I just don't see why it has to be Annie.,fru
" Well, that's a good answer, but it doesn't answer anything.  I mean, you've been away for--at war.  It's been five years.",fru
" I don't want a diagram.  Umm-- He thinks he's coming back, Chris.  You marry that girl and you're pronouncing him dead.",fru
" I mean, what's gonna happen to your father?  Do you know?  I don't.",fru
 I just--give it some more thought.,fru
 What the hell is this?,sur
 Are you crazy?,ang
 What about the business?  What the hell is this?,ang
 Must you be inspired?,ang
" Tell me, you'd leave the business?",xxx
" Well, you don't want to think like that.",ang
" All right, but just don't go thinkin' like that 'cause otherwise what did we work for?  I mean, the whole thing is for you, Chris.  The whole shootin' match is for you.",xxx
" All right.  Just-- just don't go thinkin' that way, you hear me?",fru
" I don't understand you, do I?",fru
 I can see that.,sad
 He saw it.,xxx
 He was out here when it broke.,xxx
 About four this morning.  I heard it cracking and I woke up and looked out. He was standing right here when it cracked.,xxx
" I don't know.  When it cracked, he ran back in the house and cried in the kitchen.",xxx
 No.  I thought it was best to leave him alone.,xxx
 I could hear him right through the floor of my room.,xxx
 I guess he is.,xxx
" I don't know the meaning of it.  But, I know one thing Mom, we made a terrible mistake with Dad.",xxx
" Being dishonest with him.  I mean, that sort of thing always pays off and now it's paying off.",xxx
 You know that Larry's not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,xxx
" No, I don't want to argue with him, but it's about time he realized that nobody believes Larry's alive anymore?",xxx
 Why shouldn't he dream of him and walk the nights waiting for him?  Do we contradict him?  Do we say straight out that we don't have any hope anymore?  That we haven't had hope for years now?,ang
 We've got to say it to him.,fru
" For God sakes, it's been three years.  Nobody comes back after three years.  It's insane.",ang
" Sit down, Mom.  I want to talk to you.",xxx
 All right.  All right.  Listen to me.  You know why I brought Annie here don't you?,fru
 You know.,xxx
 I'm gonna ask her to marry me.,neu
 You know it's not only my business.,fru
 So it's all right then?,fru
 I'll go ahead with it?,fru
" Well, then it isn't just my business--",ang
" Ah, sometimes you infuriate me.  You know that?  I mean, isn't it your business too if I tell Dad and flips--freaks out about it?  I mean, you have such a talent for ignoring things.",xxx
 She's not Larry's girl.,ang
" I don't know why, but, every time I reach out for something that I want, I have to pull back 'cause someone else will suffer.  My whole bloody life.  Time after time after time.",fru
 To hell with that.,ang
 I wanted to get this settled first.,xxx
" Well, if she does, then that's the end of it.  But from her letters, I think she's forgotten him.  I'll find out.  And then we'll thrash it out with Dad, right?  Mom, don't avoid me.",sad
" So what, I'm not fast with women.",xxx
 Because it is.,neu
" I can't help it.  I know her best.  I mean, I grew up next door to her.",xxx
" These years when I think of a wife, I think of Annie.  What do you want, a diagram?",fru
" All right.  All right, then, Mom.",fru
 I've given it three years of thought.  I thought that if I waited Dad would forget about Larry and we could have a regular wedding and everything happy.,fru
" But if I can't--if that can't happen here, then I'll have to get out.",xxx
 I'll get out.  I'll get married and go live some place else.  Maybe New York.,xxx
 I've been a good son too long.  A good sucker.  I'm through with it.,ang
 The business?  The business doesn't inspire me.,ang
" Yes.  I like it an hour a day.  If I'm gonna grub for my money all day long, at least in the evening I want it beautiful.",ang
" I want a family.  I want kids.  I want something that I can give myself to.  Annie's in the middle of that.  Now, where do I find it?",xxx
" Yes, on this I would.",neu
 Then help me stay here.,xxx
" I know.  I know, Mom.  Just help me stay here.",fru
 I am thinkin' that way.,neu
" No, you don't.  I'm a pretty tough guy.",neu
 Why did he invite her here?,xxx
 She's been in New York for three and half years.  Why all of a sudden?,xxx
 Nobody comes seven hundred miles just to see.,xxx
 She's not-,xxx
 -he's not gonna marry her.,oth
 It's got that all about it.,ang
" What's going on here, Joe?",xxx
" She's not his girl, Joe.  She knows she's not.",xxx
" Well then why is she still single?  I mean, New York is full of men.  Why isn't she married?  Probably a hundred people told her she's crazy, but she's waited.",fru
" She knows what I know, that's why.  She's faithful as a rock.  In my worst moments I think of her waiting and I know again that I'm right.",fru
" Nobody in this house dares take her faith away, Joe?  Strangers might, but not his father, not his brother.",xxx
 I want you to act like he's coming back.  Both of you.  Don't you think I haven't noticed since she got here.  I won't stand for any nonsense.,fru
" Because if he's not coming back, I'll kill myself.  I mean, laugh--laugh at me, but...",ang
 But why did that happen the very night she came here?  She sleeps in his room and his memorial breaks to pieces.  Just look.  Look at it.,ang
" Believe with me, Joe.  I can't stand all alone.",fru
" Last week, a man turned up in Detroit missing longer than Larry.  I mean, you read it yourself.",fru
" You, above all, have to believe.",fru
 Just--just don't stop believing.,fru
 I can't help it.,fru
 Why does that bother you?,xxx
" Well, maybe he just wanted to see her again.",neu
 What do you mean?  He lived next door to the girl all his life.  Why wouldn't he want to see her again?,neu
 Don't look at me like that.  He didn't tell me anymore than he told you.,xxx
 How do you know he's even thinking of it?,neu
" Well, so what?",neu
" Now, listen Kate.",neu
 You can't read her mind.,neu
 How do you know why she's waited?,neu
" Look, it's a nice day.  What are we arguing for?",fru
" Well, what do you want me to do about it?",fru
 But Kate--,fru
 Calm yourself.,fru
 Calm yourself.,fru
 All right.  All right.  Calm yourself.,fru
 What?- Why- Why me above all?,xxx
 What does that mean?  Me above all?,ang
 Look at you.  Look at you shaking.,ang
 What have I got to hide?  What the hell is the matter with you Kate?,ang
 You're the only one I know who loves his parents.,xxx
 It's all right.  It's a good thing.,xxx
" You know, it's lovely here, the air is sweet.",xxx
" No, not sorry.  Um, but, I'm- I'm not gonna stay.",xxx
" Well, for one thing, your mother as much as told me to go.",xxx
" You saw that.  I mean and then, well, you've been kind of, um--",xxx
" Well, kind of embarrassed ever since I got here.",xxx
" I knew they would, your mother anyway.",xxx
" Well,",xxx
" from her point of view, why else would I come?",sad
 I--I guess this is why I came.,xxx
" Oh, Chris, I've been ready for a long, long time.",xxx
 I almost got married two years ago.,hap
 You started to write me and--,hap
 Every day since.,hap
" Well, I was waiting for you.  I mean, till then you never wrote and when you did, I mean, what did you say?  You can sure be ambiguous sometimes.",xxx
 I will never forgive you.  Why did you wait all these years?  All I did was sit and wonder if I was crazy for thinking of you.,hap
 Not like that you're not.,xxx
" Like Larry's brother.  Do it like you, Chris.  What is it?",xxx
" No.  What is it, your mother?",xxx
" Then, what's wrong?  I mean, even in your letters there was some--something ashamed.",sad
 You've gotta tell me.,sad
 It wouldn't work this way.,sad
" Yeah, sure.",sad
 How many?,sad
" Oh, gee.",sad
 You still feel that way?,sad
" 'Cause you mustn't feel that way.  Because you have a right to everything that you have.  Do you understand that?  Everything, Chris, and me too.",xxx
" I mean, and your money, there's nothing wrong with your money.  I mean, your father put hundreds of planes in the air.  A man should be paid for that.",xxx
 What'll I do with a fortune?,hap
" I know, it went out of style, didn't it?",xxx
 You're not sorry you came?,neu
 Why?,xxx
 Oh.,xxx
 What?,xxx
" The trouble is, I planned on sort of sneaking up on you over a period of a week or so.  But, they take it for granted that we're all set.",xxx
" Oh.  Would you want to?  I guess you know, this is why I asked you to come.",xxx
" Anne, I love you.  I love you a great deal.  I love you.",xxx
 I have no imagination.  That's all I know to tell you.,xxx
 I'm embarrassing you and I didn't want to tell it to you here.  I wanted some place we'd never been before.  A place where we'd be brand new to each other.,xxx
" You feel it's wrong here, don't you?  This yard, this chair.  I want you to be ready for me.  I don't want to have to win you away from anything.",exc
 And he's gone forever.  You're sure?,xxx
 Why didn't you?,xxx
 You felt something that far back?,xxx
" Anne, why didn't you let me know?",xxx
" Give me a kiss, Anne.  Give me a-",xxx
" oh God, I kissed you.  I kissed Annie.  How long--how long I've been waiting to kiss you.",xxx
" Oh, Annie, we're gonna live now.  I'm gonna make you so happy.",xxx
 I kissed you.,xxx
 Let's drive someplace.  I want to be alone with you.,xxx
 No.  Nothing like that.,sad
" Yeah, I suppose I have been.  But it's going from me.",sad
 I don't know how to start.,sad
" It's all mixed up with so many other things.  You remember overseas, I was in command of a company?",sad
" Well, I lost them.",sad
 Just about all.,sad
 It takes some time for a guy to toss that off.  'Cause they weren't just men.,sad
" For instance, one time, it had been raining several days and this kid came to me and gave me his last pair of dry socks.  I put them in pocket.  It's only a little thing, but that's the kind of guys I had.",sad
" They didn't die, they killed themselves for each other.  I mean that exactly.  A little more selfish and they'd have been here today.",sad
" I got this idea watching them go down.  Everything was being destroyed, see, but it seemed that there was one new thing being made.  A sort of responsibility.  Man for man.",sad
" You know what I mean?  To show that, to bring that onto the Earth again, like some kind of monument and everyone would feel it standing behind him and it would make a difference to him.",sad
 Then I came back and it was incredible.  There was no meaning in it here.  The whole thing to them seemed like sort of a bus accident.  I went to work with Dad and that rat race again.,sad
" And I felt what you said, ashamed somehow 'cause nobody was changed at all.  It seemed to make suckers out of a lot of guys.  I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator.",sad
" I mean, you can take those things out of a war, but when you drive that car, you've gotta know that it came out of the love a man can have for a man.  You've gotta be a little better because of it.",sad
 Because otherwise all you have is really loot and there's blood on it.  And I didn't want to take any of it.  And I guess that included you.,sad
 I want you now Annie.,xxx
" I know Annie.  Annie, I'm gonna make a fortune for you.",xxx
 Fine.,xxx
 What flashlight?,neu
 That's not your flashlight.,xxx
 It's ours.  It's mine too.,xxx
" You kept saying my flashlight, if as if somehow it's just yours.  I mean is that supposed to make me feel?",xxx
 Yeah.,neu
 I'm cold.,xxx
" It's after eleven, let's just go home.",fru
 There is no point in coming down here.,xxx
 That's my point.,xxx
" So, let's go.",xxx
 Not particularly.,xxx
 I just don't.  It's stupid.,xxx
" Pass up what?  These little fish swim onto the beach, they flop around, and swim away.  And then they die.",fru
" What are you so excited about?  I mean, it's not a moon landing we're talking about here.  It's fish.  It's a fish nobody even eats.",fru
" Ah, Augie.",fru
 I'm just not.,fru
 Yeah.,xxx
" Last year, you will also remember our shoes got wet, I got sand in my panties, you got a sore throat, we got in a big fight over nothing, and we didn't see the grunions.",fru
 We didn't see them the first time either.,neu
 That's the wind.,xxx
 About what?,neu
 It's ridiculous.,xxx
 What time is it?  They're supposed to run around midnight.,exc
" This is great, isn't it?  Look at the night we've got here, couldn't be better.",exc
" I would have liked to have gone a little further up the coast to get away from the lights and the people, but I was afraid we'd miss it.",exc
 How you doing?,exc
 Is that--no--is that just foam?  I can't even tell.,exc
" Well, I guess we can tell, it probably isn't right?  Probably be unmistakable don't you think?",exc
" How you doing?  Aw, you know what I forgot?  I forgot to bring my flashlight.  Oh, how could I be so stupid?  I should've brought my flashlight.",exc
" You know, the flashlight, the silver one.  There's only one isn't there?",xxx
 Who's is it?,xxx
" Oh, well sure.",neu
" Right, of course.  Our flashlight.  Mine and yours.  I mean, me flashlight is su flashlight naturally.",neu
 How could we forget to bring it?  I hope the moon stays out.,xxx
" I wonder, do they always run during a full moon?  I can't remember if it was full last year.  Do you remember?",neu
" You cold?  Do you want my jacket?  Oh, we should've brought the blanket.  Our blanket.",neu
" This is great, isn't it?  A six pack would be just the ticket right now.",exc
 I can't believe I forgot.  I'm like a kid.  It's amazing I got out of the house with my fly zipped.,exc
 You think they can hear us talk?  Or feel the vibrations in the sand when we move around?,exc
 Do you want my jacket?,neu
 Are you kidding?  We'd miss it.  We just got here.  What's the point of coming down here if we just turn around and go home.,xxx
 Right.,neu
 That's my point too.,neu
 No. No. That's not my point.  The point is there's no point in coming down if we just leave.  Don't you want to see it?,neu
 Why not?,xxx
" Honey, this is a natural phenomenon.  I mean this only happens once a year, you know.",xxx
" Think about the people in Kansas, they had to get plane tickets and hotel reservations to see this.  We live forty minutes away.  It's too good to pass up.",exc
" Yeah, but that moment on the beach, is the highlight of their little lives.  All that flopping is laying eggs or what do you--spawning or mating.  I mean,",exc
 this is a big night for these guys.  Life's last orgy.,exc
 Yeah they do.,fru
 Alright.  But it's fish that do something that none of the other fish do.  Like the swallows returning to Capistrano or the lemmings throwing themselves off the cliffs.,exc
 There's--there's a bit of the magic--some unexplainable here.  I don't see how you can not be interested.,xxx
 For real?,xxx
" I don't get it.  The first time we came here, you said it was the best night of your life.",neu
" And last year, I remember specifically you were so excited to go that you stubbed your toe rushing me out of the house and didn't even notice until we got in the car.",xxx
 We weren't in a good spot.,neu
" We just weren't in a good spot.  This is a much better spot.  Believe me, I've got good instincts for these things.",xxx
 There is that--no that's just seaweed isn't it?,exc
" Oh man, this is great, isn't it?  I wouldn't miss this for anything.  Here, think about this, all right, I know you're not interested, but think about this.",exc
" Somewhere out there, this huge mass of silver fish swimming this way.",xxx
" They don't know why, we don't know why.  Nobody sent them an invitation or a map, it wasn't a decision, just-",xxx
" all as one, this time release instinctual little firecracker went off and they all turned and formed a line as long as the California coast and started swimming.  And they're swimming right now as if that's all that matters.",exc
 It's like single mindedness with no mind.  It's urgency that's pure urge.  They don't know what drives them.  They don't ask it a question or give it a name.,exc
" They just turn as one and start the swim that brings them right here to where we stand, for a massive celebration of sex and death.",exc
" Ah, God, I'm giving myself goose bumps.  Look, all my hairs are popped up.",exc
" Well, so what do you think?",neu
 What I was saying.,neu
 About what?,neu
 It's ridiculous.,fru
 It's PR.  Somebody sold you a bill of goods that this wonderful event is gonna take place on the beach.,xxx
" Sure, everybody's told the same story.  It keeps us all excited.  It keeps us coming back for more.  It keeps us thinking that life is gonna start any second now if we could just find the right spot and get in on the action.",xxx
" Well, I'm sorry, but it's still just fish to me.",xxx
" God damn it, Augie, don't ask me that.  I hate it when you ask me that.  You always ask me that.  It's insulting.",ang
 We just have different ideas of what this evening is supposed to look like.,ang
" For heaven sake, we're not going to see the grunions.",fru
" We never do, do we?  I mean, have we ever?",fru
 Twice is every time we've tried. That's ever.,fru
" No, we won't.  It's pointless.  It's like waiting up to see Santa Claus.",fru
" I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up.",ang
 You don't understand anything I'm saying.,fru
 I did want to see it.  I always do.  I keep thinking that this is gonna be the time and it never is.,fru
" For heaven sake, this isn't about fish.",xxx
" Do you remember the first time we came to see it?  It was about four years ago, right after we got married.",sad
" I thought I was pregnant, you had a bottle of champagne, but no glasses.  You asked me to dance, so we kicked off our shoes and you popped the cork.",sad
" And while we were dancing, you said the softest, most intimate things to me right into my ear so that I could feel them as much as hear them.",sad
" And I remember thinking, this is it.  You know, at last--at last I am as happy as I am supposed to be.",sad
" Just dancing barefoot in the sand, drinking champagne out of the bottle.",sad
 I'd rather not remember some things.  I would rather not hope for some things.,sad
 No.,sad
 No.,sad
 No. No.,xxx
 No.,sad
 No.,fru
 No.,fru
 No.,fru
 I want something to turn out the way that it's supposed to.,xxx
 This.  What?  What is this?  This isn't even anything.,xxx
" Uh, right this is standing on the beach.  This is waiting.  This is fighting.",xxx
 Well.  This isn't anything like I thought anything would be like.,sad
" I mean, this is just this.  It includes a lot and everything, but it isn't something else.  Do you have any idea what I'm trying to say?",xxx
" I know that, Augie.  Really, I do.",sad
" I know that you meant this to be special and nice and the sand and the moon and all, but I just couldn't help thinking about being somewhere else.",sad
 I didn't say that.,sad
" Oh, for heaven sake, whatever I'm doing, I'd rather be doing it with you.",xxx
" Oh, don't be ridiculous.  I mean, don't you know that?",xxx
 You're the one who probably wishes you were with someone else.  Someone who--you'd rather enjoy yourself and didn't take everything so hard.,sad
" Okay.  Fine so.  We're in the wrong spot, but we're with the right person.",xxx
" Yeah, I noticed that.  Looks pretty, doesn't it?  Big ol' white moon.",xxx
" Augie, you brought refreshments.",hap
" Well, then we don't need glasses.",hap
 No.  I think you might be right.  Maybe this is the spot after all.,hap
" Augie, I'm sorry.",sad
 Or not.,hap
" Well, so what do you think?",exc
 What I was saying.,neu
 It certainly is not.  It's slightly exaggerated scientific fact.,neu
" Well, I'm not the only one.  Look at all these people.",neu
 Are we talking about the same thing?,xxx
" Carla, can I ask you something?  Don't take this wrong, but are you having your period?",neu
" Well, what's bugging you?",fru
" There's nothing to it.  We come here, the grunion arrive, they do their little fish business, we go ooh, ah, look at the fish.  They go home. We go home.",neu
 Why not?,fru
 We've missed them twice.  That's not ever.,neu
" Well, we'll see them this year.",neu
 I thought you wanted to see it.,fru
" No, of course not.",fru
 It's just fish.  Nothing to get traumatized about.,neu
" All right.  Look, I've been trying to work this backwards, but I cannot seem to figure out the exact moment that we took a turn for the worst.",fru
" I mean, you were-  you were fine during the phone call from Marge.  Dinner was okay.  Doing the dishes was no problem.  Let's see.  I took a shower.  You watched the news.",xxx
" You said, ""Hey the grunion are running tonight.""  I said, ""Great, let's go.  I feel lucky.""",neu
" Okay, so I'm putting on my jacket, putting out the animals, getting the car out of the garage--",neu
 Wait a minute.  I've got it.,neu
" It was in the car, right?  Driving past the Knickerbocker Liquor Locker, you said, ""let's get some champagne,"" and I said, ""time's a wasting"" or something like that, right?",neu
" Yeah, of course, I see it now.  You want this to be like that other time, right?  That's it, right?",neu
" Okay, yeah, sure, I see it now.  Listen, you wanna dance?",neu
 You want me to go get some champagne?,neu
 Take off our shoes?,neu
" Well, what?  You want me to breathe in your ear?",fru
 You wanna get married again?,fru
 What?  What?  You want a divorce?,fru
 A vacation?,fru
" A new carpet?  A poodle?  Ice cream?  Back rub?  A suicide pact?  What?  What?  Carla, what the hell do you want?",fru
" Well, welcome to the human race.  Do you think this is what I had in mind when I proposed?  That four years down the road, we'd be at the beach yelling at each other over fish?",ang
" No.  You think I knew that there'd be times when you'd look at me like a used Kleenex?  Or that I'd look at you and think, holy hell, when's the next flight to Alaska?",xxx
" No, Carla, I'm just like you.  I thought it was gonna be all peaches and roses and sand in our toes and wind in our hair and the fish will always come and the bills will pay themselves and we'll have three fat rosy kids and ha, ha, baby, the joke's on us",sad
" 'cause you know what you get, Carla?  You know what you get?  This.",fru
" Yes, it is.",neu
 Right.,neu
" I know, me neither.",sad
 I'm doing the best I can.,sad
 Maybe if you were with somebody else too.,sad
" No, I know.  But still.  I know I don't make you happy.",sad
 Yeah?,sur
" Well, now that you mention it.  No, I don't.",xxx
" I don't know.  It seemed like a pretty good spot to me.  I mean, look at the view you have of the moon from here.",hap
" Well, look what we have here.",hap
 It's not champagne.,hap
 You still cold?  Do you wanna go home?,xxx
 Shh.  If we're very quiet the fish might come.,hap
 Or not.,hap
 Do you think it's them?,fea
" Well, nobody know we're here except Freda and she wouldn't ring up.",fea
 What're we gonna do?,fea
" Now and always, sweet.",xxx
 It was bound to come sooner or later.,xxx
" Ah, it send shivers up my spine.",exc
 Behave exquisitely.,hap
" Oh, of course.  I shall probably do a court curtsy.",hap
 What's so horrible is that one can't stay happy.,hap
 It's true.  The whole business is a very poor joke.,hap
" Yes, meaning just that.",hap
 Don't laugh at me.  I'm serious.,xxx
 Who's they?,neu
" If I laugh at everything, then I must laugh at us too.",neu
" Well how long will it last us, this ludicrous overbearing love of ours.",neu
" Well, shall we always want to bicker and fight?",neu
" Oh, dear, shall we like that?",neu
" Well, what happens if one of us dies?  I mean, does the one that's left still laugh?",neu
" That's serious enough, isn't it?",xxx
" Darling, I believe you're talking nonsense.",hap
" Elliott, worms don't pop.",hap
" Oh, thank you, dear.  The same applies to you except that if I catch so much as looking at another woman, I'll kill you.",hap
 Which particular one?,hap
 Charles.  That was his name.  Charles.  He did wriggle so beautifully.,hap
" Yes, I know you did.  You threw it out of the window into the Grand Canal.  I don't think I'll ever forgive you for that.",hap
 It went in intermittently for days.,hap
 It burned my comb too and all the towels in the bathroom.,hap
 That was the first time you ever hit me.,neu
" The manager came in and found us rolling around on the floor, biting and scratching like panthers.",hap
 It was ridiculous.  Completely ridiculous.,exc
 And very much sillier.,xxx
 Good God.,xxx
 I wonder.,neu
" Must be them, then.",xxx
" We're all right, darling, aren't we?  Whatever happens.",xxx
 I don't care then.,neu
 Hello?  Hello?  What?  Wrong number.,neu
 What do we do if they suddenly walk in on us?,xxx
 With the most perfect poise?,neu
 Things that ought to matter dreadfully don't matter at all when one's happy.  Do they?,neu
" Oh, darling, don't say that.",neu
" Meaning that sacred and beautiful thing, love?",neu
" Oh, what does it all mean?  That's what I ask myself in my ceaseless quest for ultimate truth.  Dear God, what does it all mean?",xxx
" You mustn't be serious, my dear one.  That's just what they want.",neu
 All those futile moralists that try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything.  All their sacred shibboleths.,neu
 Flippancy brings out the acid in their damn sweetness and light.,neu
" Certainly, you must.  We're figures of fun, alright.",neu
 Who knows.,neu
" No, that desire will fade.  Along with our passion.",neu
 Depends on how well we've played.,neu
 Yes.  Yes. With all his might.,exc
" No. No, it isn't.  Death is very laughable.  Such a cunning little mystery.  All done with mirrors.",exc
 So is everyone else in the long run.,neu
" Let's be superficial and pity the poor philosophers.  Let's blow our trumpets and squeakers and enjoy the party as much as we can.  Like quite idiotic, very small school children.  Let's savor the delight of the moment.",exc
" Come and kiss me, darling, before your body rots and worms pop in and out of your eye sockets.",exc
" I don't care what you do.  See, you could paint yourself green and dance naked in the Place Vendome and rush off madly with all the men in the world and I shan't say a word.  As long as you love me best.",neu
 You remember that awful scene we had in Venice?,neu
 The one when you bought that little painted wooden snake in the Piazza and put it on my bed.,neu
" Ah, horrible thing.  I hated it.",xxx
 How long did that row last?,neu
 The worst one was in Cannes when your curling iron burnt a hole in my new dressing gown.,neu
" That was a rouser, wasn't it?",xxx
 I didn't hit you very hard.,neu
" Oh, I'll never forget his face.",exc
 We were very much younger then.,neu
" As a matter of fact, the real cause of that row was Peter Burden.",neu
" Honey, you knew there was nothing in that.",xxx
 Presents?  Just a trivial little broach.,xxx
" No, it wasn't.  It was very pretty.  I still have it and I wear it often.",xxx
" No, I didn't.  You worked the whole thing up in your jealous imagination.",xxx
" Just a little perhaps, nothing serious.",xxx
" Well, what of it?",xxx
 It didn't hurt him at all and I enjoyed it.,xxx
" Well, if you hadn't been so suspicious and nosey, you never would have known a thing about it.",neu
 I'm bored with this conversation.,xxx
" No, thanks.",xxx
 Don't see why you want any.  You've already had two glasses.,xxx
 Just seems so silly to go on and on and on with such a thing.,neu
" Well, it's become a habit with you.",neu
 Don't be so stupid.,ang
 What?,ang
" No, just making myself fascinating for you.",xxx
" A woman's job is to allure the man.  Watch me a minute, will you?",exc
" No, it isn't.",fru
" Oh, be quiet.",ang
 Doesn't seem to have worked such wonders with you.,fru
" Adders don't snap, they sting.",ang
 They sting.,xxx
" I don't care, do you understand?  I don't care.  I don't care if they bark or roll about like hoops.",fru
" Yes, I did.  Quite a lot.",xxx
 Mind your own business.,fru
 You're quite insufferable,ang
 I expect it's because you're drunk.,fru
 You've always had a weak head.,xxx
" On the contrary, a child of two could get violently drunk on only one glass of brandy.",fru
 Shut up.,ang
" Not very funny, dear.  You'd better have some more brandy.",fru
 Why?,ang
 There aren't any people upstairs.  It's a photographer's studio.,fru
 They're away in Tunis.,xxx
" Turn it on again, please.",ang
" Very well, if you insist on being boorish and idiotic.",ang
 You are far too temperamental.  Try to control yourself.,ang
 Stop it.  Go away.  I hate you.,ang
" Listen?  Listen, indeed.  I am sick and tired of listening to you, damn sadistic bully.",ang
" I hate you.  Stop it.  Stop it.  I hate you, do you hear?  You're conceited and overbearing and utterly impossible.",ang
 This is the end.  Finally and forever.  Do you hear me?  The end.,ang
" Oh Yes, I am.",ang
 I am.  Let go of me.  You're a cruel fiend and I hate and loathe you.,ang
 Thank God I realized what you are-- I'd never marry you again ever in my life. You're a cruel fiend and I hate you. You're a beast. You're a beast--I hate you. Stop it.  Stop it.,ang
" As a matter of fact, the real cause of that row was Peter Burden.",neu
 I knew nothing of the sort.  You took presents from him.,neu
" Ah, yes, I remember it well.  Bristling with diamonds in the worst possible taste.",xxx
 You went out of your way to torture me over Peter Burden.,xxx
" You must admit, he was in love with you, wasn't he?",xxx
 You let him kiss you.  You said you did.,xxx
 What of it?,ang
" Well, what about me?",ang
" Well, that's a nice point of view I must say.",xxx
" Me, too.  Bored stiff.  You want some brandy?",neu
 I think I'll have some.,xxx
 No particular reason.  Anyhow they were very small ones.,neu
 You can hardly call three liquor glasses in a whole evening going on and on and on.,fru
" You needn't be so grand, just because you don't happen to want any yourself at the moment.",ang
" Really, Amanda.",xxx
 Nothing.,fru
 Going out somewhere dear?,xxx
 That reply has broken my heart.,xxx
" As a matter of fact, that's perfectly true.",xxx
" Yes, it is.",fru
" Ah, it's a pity you didn't have any more brandy.  It might have made you a little less disagreeable.",xxx
" Snap, snap, snap, like a little adder.",fru
 Nonsense.  They have a little bag of venom behind their fangs and they snap.,fru
 They snap.,fru
 Did you see much of Peter Burden after our divorce?,xxx
" Hmm, I imagine you let him kiss you a good deal more then.",xxx
" Oh, must have had a riotous time. No restraint at all.  Very enjoyable and never had much anyhow.",xxx
 I'm not in the least drunk.,ang
" As I mentioned before, I have had three minute liquor glasses of brandy the whole evening long.  A child of two couldn't get drunk on that.",fru
" Oh, very interesting.  How about a child of four?  A child of six?  Or a child of nine?",fru
" We could get a good debate going about this, don't you think?  Intemperate tots.",ang
 All right.  I will.,xxx
" You better turn that off, I think.",xxx
 Because it's late and it'll annoy the people upstairs.,fru
 There are people downstairs I suppose?,fru
 This is no time of the year for Tunis.,fru
 I'll do no such thing.,ang
 Turn it off.  It's driving me mad.,ang
 Turn it off.,ang
" Amanda, listen. listen",ang
" Very amusing, indeed.",fru
" You're a vile, tempered, loose living, wicked little beast and I hope to never see you again as long as I live.",ang
 You're not going like this.,ang
 You're not.,ang
 Shut up. Shut up.,ang
 I wouldn't-- I wouldn't marry--,ang
 I wouldn't marry you if you came in crawling on your knees,ang
 You're a evil vampire and I hope to God I never see you again as long as I live.,ang
" Hi, How can I help you?",neu
" Sure, um",neu
 do you have two forms of ID with you?,neu
" I actually need two forms of ID. I need either a passport or a birth certificate, or social security card. I'm sorry.",neu
 Well,neu
 I- I can take your driver's license but I need another form of ID in order to process this paper work.,neu
" Um, that you would need to go home and get another form of ID and come back.",neu
" Well, I'm sorry sir but",fru
 you need to bring two forms of ID there is nothing we can do about it.,fru
" Well, it's actually-",fru
" It's standard that you bring a couple of forms of ID, I'm sorry.",fru
" Well, I'm sorry, sir, but we're not responsible.",fru
" Yes, you did, thank you very much, but we're not responsible if you've forgotten something, and we need to have two forms of ID.",fru
" I'm sorry, but there is a lot of people waiting so you're just going to have to get in line again.",fru
" It just happens to people all the time, I'm sorry sir, but I can't make an exception for you.",fru
" I'm sorry, sir.",neu
 there is nothing I can do.,neu
" I know sir, but we have to have two forms. There is nothing I can do about it, I'm sorry.",fru
" I'm sorry, sir. There is nothing I can do.",fru
